H,F,E,W,S,R
73,9.56,1100,3348,167,1
84,8.96,1220,3220,181,1
62,10.28,920,2720,181,1
100,7.62,1100,3096,194,1
86,7.2,1100,3202,170,1
84,9.8,1220,3254,177,1
94,8,1080,3314,154,1
100,11.2,1090,3105,157,1
116,6.48,1460,3444,182,1
92,7.08,1220,3259,182,1
90,8.36,1090,2998,160,1
94,8.1,1080,3159,150,1
116,6.36,1100,3200,182,1
110,11.3,1320,3321,170,1
116,8.48,1460,3424,152,1
97,8.32,1200,3108,164,1
112,8.3,980,3105,151,1
68,9.48,970,3131,162,1
112,8.6,980,3058,150,1
90,6.48,1320,3482,175,1
116,7.36,1100,3244,188,1
116,6.36,1100,3244,172,1
70,7.44,980,2889,169,1
82,6.88,1080,3220,162,1
68,10.28,900,2533,174,1
86,10.5,1100,3090,184,1
97,7.32,1200,3137,177,1
92,8.56,1220,3140,188,1
88,8.48,1220,3422,165,1
88,5.9,1220,3422,178,1
86,10.4,1100,3110,166,1
84,6.7,1220,3220,162,1
62,8.08,920,4199,165,1
102,10.6,980,2958,189,1
88,9.9,1220,3143,198,1
85,8.32,1090,3071,157,1
84,9.96,1220,3254,170,1
116,6.8,1460,3429,155,1
68,9.36,900,2533,194,1
70,9.45,980,2865,159,1
69,8.16,970,2711,176,1
70,8.49,980,2975,197,1
85,9.32,1090,2986,159,1
88,10.6,1220,3247,164,1
70,8.56,980,2928,151,1
82,7.24,1080,3267,160,1
69,8.16,970,2750,188,0
52,11.96,970,3056,190,0
85,8.32,1090,2982,192,0
102,7.48,980,2873,164,0
102,7.48,980,2873,185,0
56,9.4,1100,3071,176,0
62,8.08,920,3092,152,0
86,7.8,1100,3019,166,0
68,8.28,900,2655,194,0
69,9.16,970,2738,153,0
56,7,1100,3071,187,0
52,11.96,970,3052,188,0
82,9.54,1080,2957,166,0
70,8,980,2827,181,0
76,9.68,920,2619,152,0
68,11.36,920,2589,167,0
102,10,980,2896,192,0
68,8.28,900,2685,169,0
68,9.28,980,2958,189,0
73,7.84,1080,3024,159,0
68,8.48,910,2552,174,0
69,9.16,970,2661,168,0
82,9.2,1080,3092,173,0
68,9.28,900,2655,170,0
68,8.28,910,2633,187,0
69,8.16,970,2732,171,0
69,8.16,970,2634,174,0
76,8.78,920,2714,169,0
76,9.68,920,2732,179,0
70,9.04,980,2847,191,0
48,5.5,610,2009,102,0
68,10.36,900,2589,150,0
76,10.76,920,2641,170,0
82,9.28,1080,2896,153,0
55,12.4,1030,2723,198,0
73,6.84,1080,2862,168,0
88,9.2,1220,3193,183,0
70,10.04,980,2809,173,0
62,9.16,920,3078,176,0
76,8.28,920,2456,154,0
69,9.16,970,2616,158,0
68,9.28,910,2572,192,0
78,8.36,1110,3155,187,0
62,8.88,920,2680,158,0
68,10.28,910,2626,176,0
68,8.28,900,2685,199,0
68,10.28,900,2685,154,0
68,9.28,920,2705,196,0
70,11.72,900,2577,195,0
58,7,920,2313,182,0
62,10.28,920,2754,153,0
69,10.16,970,2550,189,0
70,10.72,900,2530,159,0
68,10.28,920,2624,178,0
69,9.04,970,2768,154,0
